date,opening,high,low,closing,total
2019-02-13,1.16,1.22,1.16,1.22,860.00K
2019-02-12,1.16,1.18,1.16,1.16,108.00K
2019-02-11,1.15,1.20,1.15,1.18,160.00K
2019-02-08,1.15,1.22,1.15,1.19,190.00K
2019-02-04,1.15,1.15,1.15,1.15,120.00K
2019-02-01,1.13,1.17,1.12,1.14,584.00K
2019-01-31,1.15,1.15,1.13,1.13,176.00K
2019-01-30,1.16,1.16,1.13,1.15,204.00K
2019-01-29,1.14,1.14,1.14,1.14,8.00K
2019-01-28,1.15,1.16,1.15,1.15,156.00K
2019-01-25,1.15,1.18,1.15,1.18,228.00K
2019-01-24,1.17,1.17,1.14,1.15,282.00K
2019-01-23,1.16,1.17,1.15,1.15,110.00K
2019-01-22,1.15,1.16,1.13,1.14,98.00K
2019-01-21,1.16,1.17,1.16,1.16,120.00K
2019-01-18,1.18,1.19,1.16,1.19,170.00K
2019-01-17,1.21,1.23,1.15,1.18,332.00K
2019-01-16,1.22,1.22,1.21,1.21,54.00K
2019-01-15,1.22,1.25,1.22,1.24,220.00K
2019-01-14,1.27,1.27,1.21,1.22,270.00K
2019-01-11,1.21,1.25,1.21,1.24,56.00K
2019-01-10,0.00,0.00,0.00,1.25,0.00
2019-01-09,1.25,1.27,1.20,1.26,278.00K
2019-01-08,1.25,1.25,1.20,1.22,52.00K
2019-01-07,1.24,1.29,1.24,1.26,82.00K
2019-01-04,1.29,1.29,1.24,1.28,130.00K
2019-01-03,1.28,1.28,1.28,1.28,30.00K
2019-01-02,1.32,1.32,1.24,1.28,184.00K
2018-12-31,1.31,1.32,1.27,1.31,132.00K
2018-12-28,1.26,1.32,1.26,1.30,186.00K
2018-12-27,1.27,1.35,1.26,1.26,86.00K
2018-12-24,1.29,1.29,1.25,1.27,130.00K
2018-12-21,1.37,1.37,1.25,1.25,64.00K
2018-12-20,1.34,1.34,1.25,1.25,92.00K
2018-12-19,1.36,1.42,1.28,1.30,236.00K
2018-12-18,1.25,1.42,1.25,1.30,452.00K
2018-12-17,1.27,1.28,1.23,1.25,668.00K
2018-12-14,1.27,1.27,1.27,1.27,18.00K
2018-12-13,1.24,1.31,1.24,1.29,1.07M
2018-12-12,1.27,1.29,1.25,1.28,68.00K
2018-12-11,1.25,1.29,1.23,1.27,202.00K
2018-12-10,1.32,1.32,1.28,1.30,250.00K
2018-12-07,1.34,1.37,1.33,1.35,182.00K
2018-12-06,1.36,1.37,1.33,1.34,552.00K
2018-12-05,1.38,1.39,1.37,1.39,164.00K
2018-12-04,1.40,1.45,1.39,1.39,154.00K
2018-12-03,1.40,1.43,1.40,1.41,272.00K
2018-11-30,1.42,1.42,1.38,1.38,254.00K
2018-11-29,1.46,1.55,1.42,1.43,1.84M
2018-11-28,1.40,1.45,1.36,1.40,950.00K
2018-11-27,1.38,1.41,1.36,1.37,462.00K
2018-11-26,1.40,1.40,1.35,1.38,276.00K
2018-11-23,1.36,1.39,1.35,1.36,204.00K
2018-11-22,1.38,1.40,1.36,1.37,272.00K
2018-11-21,1.39,1.43,1.37,1.38,176.00K
2018-11-20,1.40,1.45,1.36,1.39,142.00K
2018-11-19,1.46,1.46,1.38,1.39,412.00K
2018-11-16,1.43,1.44,1.39,1.40,630.00K
2018-11-15,1.40,1.47,1.40,1.43,536.00K
2018-11-14,1.48,1.49,1.44,1.44,340.00K
2018-11-13,1.48,1.49,1.41,1.48,468.00K
2018-11-12,1.43,1.57,1.43,1.49,1.46M
2018-11-09,1.41,1.50,1.34,1.43,754.00K
2018-11-08,1.48,1.62,1.41,1.45,2.46M
2018-11-07,1.35,1.59,1.33,1.47,6.51M
2018-11-06,1.16,1.36,1.15,1.32,4.82M
2018-11-05,1.18,1.21,1.15,1.16,458.00K
2018-11-02,1.22,1.29,1.19,1.21,1.73M
2018-11-01,0.98,1.33,0.98,1.17,3.21M
2018-10-31,0.96,0.97,0.93,0.96,474.00K
2018-10-30,0.98,0.98,0.95,0.97,174.00K
2018-10-29,1.00,1.02,0.97,0.98,276.00K
2018-10-26,1.02,1.02,1.01,1.02,130.00K
2018-10-25,1.01,1.02,1.00,1.02,240.00K
2018-10-24,1.02,1.04,1.01,1.04,116.00K
2018-10-23,1.06,1.06,1.01,1.02,325.00K
2018-10-22,1.06,1.10,1.05,1.06,202.00K
2018-10-19,1.06,1.10,1.06,1.09,274.00K
2018-10-18,1.05,1.10,1.05,1.06,56.28K
2018-10-16,1.08,1.08,1.03,1.03,162.00K
2018-10-15,1.08,1.10,1.03,1.08,342.00K
2018-10-12,1.03,1.14,1.01,1.08,562.00K
2018-10-11,1.09,1.09,1.00,1.06,980.00K
2018-10-10,1.15,1.18,1.14,1.16,145.00K
2018-10-09,1.17,1.17,1.16,1.16,84.00K
2018-10-08,1.18,1.18,1.17,1.17,94.00K
2018-10-05,1.18,1.20,1.17,1.18,186.00K
2018-10-04,1.20,1.20,1.17,1.18,76.00K
2018-10-03,1.19,1.21,1.19,1.19,196.00K
2018-10-02,1.25,1.25,1.21,1.22,238.00K
2018-09-28,1.26,1.27,1.24,1.25,124.00K
2018-09-27,1.28,1.33,1.23,1.24,1.09M
2018-09-26,1.30,1.30,1.26,1.27,180.00K
2018-09-24,1.26,1.32,1.24,1.30,416.00K
2018-09-21,1.25,1.30,1.25,1.26,238.00K
2018-09-20,1.30,1.34,1.25,1.25,352.00K
2018-09-19,1.22,1.31,1.22,1.31,340.00K
2018-09-18,1.23,1.26,1.18,1.22,186.00K
2018-09-17,1.22,1.23,1.20,1.23,76.00K
2018-09-14,1.27,1.28,1.21,1.22,308.00K
2018-09-13,1.16,1.30,1.16,1.22,584.00K
2018-09-12,1.23,1.23,1.16,1.16,390.00K
2018-09-11,1.29,1.29,1.18,1.23,316.00K
2018-09-10,1.28,1.31,1.23,1.25,278.00K
2018-09-07,1.32,1.37,1.32,1.32,134.00K
2018-09-06,1.37,1.40,1.32,1.32,378.00K
2018-09-05,1.40,1.42,1.35,1.36,270.00K
2018-09-04,1.41,1.45,1.36,1.42,274.00K
2018-09-03,1.41,1.41,1.40,1.41,118.00K
2018-08-31,1.42,1.44,1.41,1.44,126.00K
2018-08-30,1.49,1.49,1.42,1.42,156.00K
2018-08-29,1.42,1.63,1.40,1.47,1.32M
2018-08-28,1.48,1.50,1.39,1.42,488.00K
