date,opening,high,low,closing,total
2019-02-13,86.55,86.75,85.75,86.00,6.29M
2019-02-12,85.60,86.70,85.50,86.35,5.95M
2019-02-11,86.40,86.85,86.00,86.85,3.93M
2019-02-08,86.00,87.00,85.50,86.85,5.23M
2019-02-04,84.80,86.70,84.80,86.70,3.66M
2019-02-01,86.90,86.90,84.45,85.15,7.24M
2019-01-31,86.00,86.85,85.50,86.00,11.08M
2019-01-30,85.50,85.60,84.65,85.10,7.45M
2019-01-29,83.70,85.45,83.40,85.45,6.20M
2019-01-28,83.90,84.90,83.35,84.40,6.24M
2019-01-25,82.50,83.10,81.55,83.10,4.77M
2019-01-24,83.50,83.50,81.55,81.65,5.63M
2019-01-23,80.45,82.20,80.35,81.00,6.19M
2019-01-22,79.05,80.10,78.95,80.10,3.40M
2019-01-21,79.05,79.50,78.55,78.70,3.84M
2019-01-18,80.25,80.25,78.90,79.35,3.45M
2019-01-17,80.55,80.55,79.30,79.50,4.65M
2019-01-16,80.00,80.25,79.60,80.05,4.69M
2019-01-15,80.00,81.10,79.95,80.40,4.71M
2019-01-14,80.00,80.00,79.55,79.90,2.98M
2019-01-11,79.55,80.10,79.10,79.75,5.79M
2019-01-10,79.85,80.40,79.00,79.30,6.62M
2019-01-09,81.30,81.60,79.75,79.90,7.63M
2019-01-08,81.00,81.95,80.00,80.40,6.11M
2019-01-07,81.80,81.90,80.40,81.30,4.38M
2019-01-04,77.90,81.00,77.85,80.95,6.30M
2019-01-03,78.30,78.80,78.05,78.15,3.95M
2019-01-02,79.40,79.40,77.60,78.20,4.11M
2018-12-31,78.55,79.50,78.55,79.30,2.09M
2018-12-28,78.60,79.20,78.25,78.90,3.76M
2018-12-27,79.10,79.95,78.50,78.90,5.48M
2018-12-24,77.30,78.80,77.05,78.80,2.62M
2018-12-21,77.55,78.90,77.55,77.65,9.30M
2018-12-20,78.25,78.95,77.05,78.25,3.77M
2018-12-19,78.75,79.30,78.50,78.55,3.60M
2018-12-18,78.40,79.40,78.30,79.30,6.30M
2018-12-17,79.20,79.30,78.55,79.15,5.15M
2018-12-14,78.30,79.00,78.10,78.85,5.23M
2018-12-13,79.40,79.70,78.25,78.95,6.53M
2018-12-12,78.00,78.70,77.10,77.90,5.09M
2018-12-11,76.35,77.75,76.35,77.15,3.57M
2018-12-10,79.20,79.20,76.45,76.70,6.79M
2018-12-07,79.55,79.55,77.80,79.35,11.58M
2018-12-06,76.40,77.25,75.70,77.25,6.37M
2018-12-05,76.80,77.00,75.60,77.00,4.97M
2018-12-04,76.00,76.65,75.45,76.65,4.68M
2018-12-03,75.65,76.15,75.35,75.65,6.45M
2018-11-30,75.45,75.50,74.50,74.50,8.76M
2018-11-29,75.25,76.00,75.15,75.45,5.81M
2018-11-28,73.45,74.70,73.05,74.65,5.24M
